"","protein1","protein2"
"2563996","CD27","4-1BB"
"2564015","CD27","CTLA4"
"2564040","CD27","CD4"
"2564081","CD27","CD123"
"2564108","CD27","IL-1b"
"2564129","CD27","GZMA"
"2564153","CD27","IDO1"
"2564202","CD27","ICAM1"
"2564217","CD27","CD31"
"2564219","CD27","CD68"
"2564228","CD27","CD3"
"2564255","CD27","TCF7"
"2564276","CD27","IL-18"
"2564289","CD27","EpCAM"
"2693159","p53","CD27"
"2693263","p53","NF-kB p65"
"2693327","p53","Ki-67"
"2693409","p53","CD15"
"2693863","p53","FOXP3"
"2694155","p53","Fibronectin"
"2694269","p53","iNOS"
"2694331","p53","CD68"
"2694404","p53","CD3"
"2694528","p53","TCF7"
"2694653","p53","IL-18"
"2694787","p53","EpCAM"
"2694807","p53","GZMA"
"2694918","p53","IDO1"
"2695107","p53","Vimentin"
"2695241","p53","ICAM1"
"2695321","p53","CD31"
"2695469","p53","CD123"
"2695695","p53","IL-1b"
"2695841","p53","VISTA"
"2695932","p53","4-1BB"
"2696016","p53","CTLA4"
"2696135","p53","CD4"
"2696436","p53","pan-RAS"
"2696575","p53","CD127"
"2696638","p53","Tim-3"
"2696761","p53","ICOS"
"2696874","p53","FABP4"
"2696949","p53","Her2"
"2697117","p53","CD45"
"2697172","p53","LAG3"
"2697230","p53","GZMB"
"2697370","p53","HLA-DR"
"2697418","p53","CD40"
"2698375","p53","CD34"
"2698463","p53","CCR7"
"2698498","p53","SMA"
"2698677","p53","CD38"
"2699002","p53","PD-L2"
"2699621","p53","PD-L1"
"2699730","p53","EGFR"
"2699870","p53","B7-H3"
"2707730","Her2","CD38"
"2708080","Her2","CCR7"
"2708122","Her2","SMA"
"2708176","Her2","CD34"
"2708224","Her2","PD-L1"
"2708311","Her2","B7-H3"
"2708383","Her2","EGFR"
"2708513","Her2","PD-L2"
"2708669","Her2","FABP4"
"2708742","Her2","ICOS"
"2708806","Her2","CD45"
"2708837","Her2","LAG3"
"2708959","Her2","pan-RAS"
"2709043","Her2","Tim-3"
"2709142","Her2","CD127"
"2709439","Her2","HLA-DR"
"2709452","Her2","GZMB"
"2709572","Her2","CD40"
"2709689","Her2","GZMA"
"2709713","Her2","IDO1"
"2709764","Her2","ICAM1"
"2709775","Her2","CD31"
"2709839","Her2","Vimentin"
"2709914","Her2","TCF7"
"2709959","Her2","CD68"
"2709991","Her2","CD3"
"2710037","Her2","EpCAM"
"2710092","Her2","IL-18"
"2710136","Her2","4-1BB"
"2710146","Her2","CTLA4"
"2710179","Her2","VISTA"
"2710333","Her2","CD4"
"2710390","Her2","CD123"
"2710511","Her2","IL-1b"
"2710640","Her2","CD27"
"2710672","Her2","p53"
"2710733","Her2","Ki-67"
"2710746","Her2","CD15"
